KEY-key-RequestType,MasterCommitTime,SlaveCommitTime,Staleness
KEY-valueIs-CREATE,1544713730554,1544713730602,48
KEY-valueIs-CREATE,1544713731627,1544713731674,47
KEY-valueIs-CREATE,1544713732691,1544713732738,47
KEY-valueIs-CREATE,1544713733754,1544713733802,48
KEY-valueIs-CREATE,1544713734865,1544713734910,45
KEY-valueIs-CREATE,1544713735929,1544713735974,45
KEY-valueIs-CREATE,1544713736994,1544713737042,48
KEY-valueIs-CREATE,1544713738061,1544713738106,45
KEY-valueIs-CREATE,1544713739137,1544713739182,45
KEY-valueIs-CREATE,1544713740202,1544713740246,44
KEY-valueIs-CREATE,1544713741266,1544713741310,44
KEY-valueIs-CREATE,1544713742330,1544713742374,44
KEY-valueIs-CREATE,1544713743406,1544713743450,44
KEY-valueIs-CREATE,1544713744476,1544713744483,7
KEY-valueIs-CREATE,1544713745544,1544713745590,46
KEY-valueIs-CREATE,1544713746606,1544713746654,48
KEY-valueIs-CREATE,1544713747673,1544713747718,45
KEY-valueIs-CREATE,1544713748724,1544713748770,46
KEY-valueIs-CREATE,1544713749786,1544713749830,44
KEY-valueIs-CREATE,1544713750850,1544713750899,49
KEY-valueIs-CREATE,1544713751917,1544713751962,45
KEY-valueIs-CREATE,1544713752981,1544713753026,45
KEY-valueIs-CREATE,1544713754046,1544713754090,44
KEY-valueIs-CREATE,1544713755159,1544713755206,47
KEY-valueIs-CREATE,1544713756226,1544713756270,44
KEY-valueIs-CREATE,1544713757290,1544713757294,4
KEY-valueIs-CREATE,1544713758353,1544713758362,9
KEY-valueIs-CREATE,1544713759418,1544713759466,48
KEY-valueIs-CREATE,1544713760483,1544713760530,47
KEY-valueIs-CREATE,1544713761560,1544713761606,46
KEY-valueIs-CREATE,1544713762624,1544713762670,46
KEY-valueIs-CREATE,1544713763686,1544713763730,44
KEY-valueIs-CREATE,1544713764753,1544713764798,45
KEY-valueIs-CREATE,1544713765817,1544713765862,45
KEY-valueIs-CREATE,1544713766882,1544713766926,44
KEY-valueIs-CREATE,1544713767949,1544713767994,45
KEY-valueIs-CREATE,1544713769018,1544713769062,44
KEY-valueIs-CREATE,1544713770082,1544713770126,44
KEY-valueIs-CREATE,1544713771145,1544713771190,45
KEY-valueIs-CREATE,1544713772221,1544713772266,45
KEY-valueIs-CREATE,1544713773284,1544713773330,46
KEY-valueIs-CREATE,1544713774347,1544713774394,47
KEY-valueIs-CREATE,1544713775409,1544713775454,45
KEY-valueIs-CREATE,1544713776473,1544713776518,45
KEY-valueIs-CREATE,1544713777536,1544713777582,46
KEY-valueIs-CREATE,1544713778599,1544713778642,43
KEY-valueIs-CREATE,1544713779661,1544713779706,45
KEY-valueIs-CREATE,1544713780726,1544713780774,48
KEY-valueIs-CREATE,1544713781789,1544713781799,10
KEY-valueIs-CREATE,1544713782851,1544713782898,47
KEY-valueIs-CREATE,1544713783961,1544713784006,45
KEY-valueIs-CREATE,1544713785026,1544713785070,44
KEY-valueIs-CREATE,1544713786153,1544713786198,45
KEY-valueIs-CREATE,1544713787360,1544713787406,46
KEY-valueIs-CREATE,1544713788472,1544713788518,46
KEY-valueIs-CREATE,1544713789537,1544713789582,45
KEY-valueIs-CREATE,1544713790601,1544713790646,45
KEY-valueIs-CREATE,1544713791662,1544713791706,44
KEY-valueIs-CREATE,1544713792726,1544713792770,44
KEY-valueIs-CREATE,1544713793797,1544713793843,46
KEY-valueIs-CREATE,1544713794860,1544713794906,46
KEY-valueIs-CREATE,1544713795930,1544713795978,48
KEY-valueIs-CREATE,1544713796994,1544713797038,44
KEY-valueIs-CREATE,1544713798062,1544713798110,48
KEY-valueIs-CREATE,1544713799125,1544713799170,45
KEY-valueIs-CREATE,1544713800189,1544713800234,45
KEY-valueIs-CREATE,1544713801259,1544713801302,43
KEY-valueIs-CREATE,1544713802323,1544713802366,43
KEY-valueIs-CREATE,1544713803372,1544713803375,3
KEY-valueIs-CREATE,1544713804434,1544713804478,44
KEY-valueIs-CREATE,1544713805496,1544713805542,46
KEY-valueIs-CREATE,1544713806560,1544713806606,46
KEY-valueIs-CREATE,1544713807622,1544713807670,48
KEY-valueIs-CREATE,1544713808687,1544713808734,47
KEY-valueIs-CREATE,1544713809760,1544713809806,46
KEY-valueIs-CREATE,1544713810821,1544713810866,45
KEY-valueIs-CREATE,1544713811884,1544713811930,46
KEY-valueIs-CREATE,1544713812948,1544713812995,47
KEY-valueIs-CREATE,1544713814010,1544713814017,7
KEY-valueIs-CREATE,1544713815074,1544713815118,44
KEY-valueIs-CREATE,1544713816138,1544713816182,44
KEY-valueIs-CREATE,1544713817200,1544713817247,47
KEY-valueIs-CREATE,1544713818313,1544713818358,45
KEY-valueIs-CREATE,1544713819387,1544713819438,51
KEY-valueIs-CREATE,1544713820453,1544713820498,45
KEY-valueIs-CREATE,1544713821514,1544713821566,52
KEY-valueIs-CREATE,1544713822579,1544713822626,47
KEY-valueIs-CREATE,1544713823642,1544713823655,13
KEY-valueIs-CREATE,1544713824707,1544713824750,43
KEY-valueIs-CREATE,1544713825769,1544713825814,45
KEY-valueIs-CREATE,1544713826874,1544713826922,48
KEY-valueIs-CREATE,1544713827938,1544713827986,48
KEY-valueIs-CREATE,1544713829001,1544713829046,45
KEY-valueIs-CREATE,1544713830062,1544713830106,44
KEY-valueIs-CREATE,1544713831123,1544713831170,47
KEY-valueIs-CREATE,1544713832245,1544713832290,45
KEY-valueIs-CREATE,1544713833318,1544713833362,44
KEY-valueIs-CREATE,1544713834379,1544713834422,43
KEY-valueIs-CREATE,1544713835481,1544713835526,45
KEY-valueIs-CREATE,1544713836585,1544713836630,45
