KEY-key-RequestType,MasterCommitTime,SlaveCommitTime,Staleness
KEY-valueIs-CREATE,1544713027934,1544713028078,144
KEY-valueIs-CREATE,1544713029163,1544713029210,47
KEY-valueIs-CREATE,1544713030301,1544713030347,46
KEY-valueIs-CREATE,1544713031416,1544713031421,5
KEY-valueIs-CREATE,1544713032533,1544713032578,45
KEY-valueIs-CREATE,1544713033690,1544713033694,4
KEY-valueIs-CREATE,1544713034802,1544713034806,4
KEY-valueIs-CREATE,1544713035874,1544713035922,48
KEY-valueIs-CREATE,1544713037001,1544713037007,6
KEY-valueIs-CREATE,1544713038077,1544713038122,45
KEY-valueIs-CREATE,1544713039193,1544713039198,5
KEY-valueIs-CREATE,1544713040264,1544713040311,47
KEY-valueIs-CREATE,1544713041377,1544713041426,49
KEY-valueIs-CREATE,1544713042503,1544713042550,47
KEY-valueIs-CREATE,1544713043619,1544713043666,47
KEY-valueIs-CREATE,1544713044774,1544713044818,44
KEY-valueIs-CREATE,1544713045885,1544713045930,45
KEY-valueIs-CREATE,1544713046998,1544713047002,4
KEY-valueIs-CREATE,1544713048068,1544713048072,4
KEY-valueIs-CREATE,1544713049138,1544713049182,44
KEY-valueIs-CREATE,1544713050246,1544713050290,44
KEY-valueIs-CREATE,1544713051356,1544713051402,46
KEY-valueIs-CREATE,1544713052468,1544713052514,46
KEY-valueIs-CREATE,1544713053625,1544713053670,45
KEY-valueIs-CREATE,1544713054777,1544713054785,8
KEY-valueIs-CREATE,1544713055851,1544713055854,3
KEY-valueIs-CREATE,1544713056919,1544713056967,48
KEY-valueIs-CREATE,1544713058074,1544713058077,3
KEY-valueIs-CREATE,1544713059189,1544713059234,45
KEY-valueIs-CREATE,1544713060349,1544713060364,15
KEY-valueIs-CREATE,1544713061430,1544713061474,44
KEY-valueIs-CREATE,1544713062539,1544713062586,47
KEY-valueIs-CREATE,1544713063657,1544713063702,45
KEY-valueIs-CREATE,1544713064809,1544713064854,45
KEY-valueIs-CREATE,1544713065966,1544713066014,48
KEY-valueIs-CREATE,1544713067080,1544713067087,7
KEY-valueIs-CREATE,1544713068158,1544713068206,48
KEY-valueIs-CREATE,1544713069275,1544713069326,51
KEY-valueIs-CREATE,1544713070390,1544713070394,4
KEY-valueIs-CREATE,1544713071459,1544713071506,47
KEY-valueIs-CREATE,1544713072570,1544713072614,44
KEY-valueIs-CREATE,1544713073677,1544713073722,45
KEY-valueIs-CREATE,1544713074832,1544713074878,46
KEY-valueIs-CREATE,1544713075944,1544713075990,46
KEY-valueIs-CREATE,1544713077063,1544713077106,43
KEY-valueIs-CREATE,1544713078170,1544713078214,44
KEY-valueIs-CREATE,1544713079278,1544713079322,44
KEY-valueIs-CREATE,1544713080425,1544713080470,45
KEY-valueIs-CREATE,1544713081536,1544713081582,46
KEY-valueIs-CREATE,1544713082690,1544713082738,48
KEY-valueIs-CREATE,1544713083801,1544713083846,45
KEY-valueIs-CREATE,1544713084911,1544713084958,47
KEY-valueIs-CREATE,1544713086024,1544713086070,46
KEY-valueIs-CREATE,1544713087135,1544713087182,47
KEY-valueIs-CREATE,1544713088249,1544713088261,12
KEY-valueIs-CREATE,1544713089329,1544713089374,45
KEY-valueIs-CREATE,1544713090424,1544713090478,54
KEY-valueIs-CREATE,1544713091543,1544713091590,47
KEY-valueIs-CREATE,1544713092654,1544713092698,44
KEY-valueIs-CREATE,1544713093810,1544713093862,52
KEY-valueIs-CREATE,1544713094940,1544713094986,46
KEY-valueIs-CREATE,1544713096054,1544713096098,44
KEY-valueIs-CREATE,1544713097205,1544713097251,46
KEY-valueIs-CREATE,1544713098315,1544713098362,47
KEY-valueIs-CREATE,1544713099427,1544713099470,43
KEY-valueIs-CREATE,1544713100535,1544713100578,43
KEY-valueIs-CREATE,1544713101644,1544713101690,46
KEY-valueIs-CREATE,1544713102755,1544713102802,47
KEY-valueIs-CREATE,1544713103867,1544713103910,43
KEY-valueIs-CREATE,1544713104973,1544713105018,45
KEY-valueIs-CREATE,1544713106089,1544713106095,6
KEY-valueIs-CREATE,1544713107160,1544713107206,46
KEY-valueIs-CREATE,1544713108270,1544713108314,44
KEY-valueIs-CREATE,1544713109379,1544713109422,43
KEY-valueIs-CREATE,1544713110485,1544713110530,45
KEY-valueIs-CREATE,1544713111637,1544713111682,45
KEY-valueIs-CREATE,1544713112747,1544713112794,47
KEY-valueIs-CREATE,1544713113860,1544713113906,46
KEY-valueIs-CREATE,1544713114971,1544713115014,43
KEY-valueIs-CREATE,1544713116076,1544713116122,46
KEY-valueIs-CREATE,1544713117202,1544713117246,44
KEY-valueIs-CREATE,1544713118353,1544713118398,45
KEY-valueIs-CREATE,1544713119463,1544713119511,48
KEY-valueIs-CREATE,1544713120716,1544713120762,46
KEY-valueIs-CREATE,1544713121927,1544713121931,4
KEY-valueIs-CREATE,1544713123221,1544713123266,45
KEY-valueIs-CREATE,1544713124603,1544713124646,43
KEY-valueIs-CREATE,1544713125708,1544713125754,46
KEY-valueIs-CREATE,1544713126857,1544713126902,45
KEY-valueIs-CREATE,1544713128010,1544713128054,44
KEY-valueIs-CREATE,1544713129117,1544713129162,45
KEY-valueIs-CREATE,1544713130235,1544713130278,43
KEY-valueIs-CREATE,1544713131343,1544713131390,47
KEY-valueIs-CREATE,1544713132917,1544713132962,45
KEY-valueIs-CREATE,1544713134026,1544713134078,52
